ID,NAME,IDCARD,BIRTHDAY,PROVINCE,ADDRESS,PHONE,EMAIL,PASSPORTID,JUNGUAN,BANKCARD,ZUOJI,NASHUI2,GONGSHANG,QIYE,PROFESSIONAL,COMPANY,JIAZHAO,CHEJIAHAO,CHEPAIHAO,XUEWEI,ZHENGJIANHAO
1,位书蝶,440221198209028380,1983-02-03,吉林省吉林市,安徽省合肥市鼓楼区西林街道邹傅村委朝东王家村68号,18783340473,qiaohuanran@n1vu8.com,S25924458,广字第89010927号,6259467615897782196,0745-71199451,816110022254544928,361026327891096,25058385-1,磨具制造工,贵州宏牛文创科技有限公司,110162085301,EP7KHX5D38GPM0481,陕D8GA5P,脊柱裂,420923196603287426
2,支潇玉,632626195911035764,1978-05-09,山东省泰安市,宁夏回族自治区中卫市中宁县滨河南路,13570652624,jiangyuchan@ubpoa.net.cn,G08523557,成字第05723058号,6205278652267047712,0734-89032165,30542427957424178Q,542224392475834,35393869-4,橡胶成型工,衢州小米影业有限责任公司,430814140387,DY12A85P25T734956,鲁VBGNA7,寄生虫感染,S58351959
3,仆安卉,61011519960816579X,1982-10-04,福建省三明市,宁夏省常州市亭湖区横山桥镇领秀江南00幢乙单元665室,15898234846,longmanli@lc8gu.top,G14724476,兰字第54066504号,6212811928313849636,0470-49659937,54511821225812860F,330101985772500,56263449-4,法医,郴州小米装饰有限公司,320557538171,K6V7LCW58D3G65289,湘HF11JE,基底细胞乳头状瘤,参字第42389453号
4,丹丹南,140428194012033772,1942-11-20,湖北省监利县,吉林省通化市黄朗名园46栋57837号,18549727146,aiyanyi@a7izx.site,S53069388,参字第34003142号,6226042123657607094,0999-53838433,95450104609472631Q,431000389155528,29365246-6,缫丝工,贵阳苗姑娘食品有限公司,350964747533,TJLZ2MH8879808902,浙C8MVRG,子宫附件恶性肿瘤,P65219560
5,常豁,320382197304015904,1950-12-20,福建省鲤城区,安徽省阜阳市相城区雕庄朝阳花园412幢丙单元445室,16682931105,guomengjie@akx28.shop,E98430169,参字第12242141号,6259683285796256391,0515-84025161,855424216836262782,152627660280928,09389570-3,吸附工,深圳虾小米网络技术有限公司,451289660707,HB5YP9G053F5L1043,甘JUM3LE,结肠胸腔瘘,G53442661
6,纪汝芬,130208200012076991,1942-08-22,湖南省桂东县,安徽省张家港市戚墅堰区工房北区43幢丙单元8413室,16657640080,wangbaochuan@qhn2b.cn,E37991291,济字第70238741号,6228201481490070620,0791-72575067,20422802333149921M,411122743051556,78772704-2,其他水利设施管理养护人员,青岛小米装备制造有限公司,320110151543,DP0K8ME1XW4FJ1273,辽AWBTYH,文化休克,37100219430902797X
7,逮盼雪,533122195409175598,1929-03-12,吉林省松原市,山东省临沂市亭湖区湖塘镇中村胡家村41号,14809010099,hebingyan@excxk.shop,E76594460,兰字第64161668号,6223235204981995027,0775-90428250,124210001105405402,621021120828944,04954339-9,其他铁路工程技术人员,上海小米文化传播有限公司,510820541591,B0JCFPR57KK5B3816,川B3WY7W,食道裂孔疝,后字第00081453号
8,边映安,130821199705180773,1931-12-17,来宾市金秀县,宁夏回族自治区中卫市中宁县滨河南路,18442523697,shannanlu@8joyz.net,G93992732,成字第52669241号,3568694813665933867,0997-67266641,20150200875898344H,340828577627084,25889298-2,古建筑装饰工,会泽迤车小米吉兰百货门市,530155830072,170WUHM40RLYP2407,川G2S29K,区域性牙体发育异常,340304196605051714
9,酆沅莹,511112195811108985,1943-08-20,阿克苏地区库车县,安徽省零安市亭湖区牌楼巷341号474741,17511400670,dantaimiaosong@u7hkt.info,G18925589,海字第52862158号,6221650449587940600,8868-63351794,361402006938610642,230714157478224,57862275-4,通信设备检验工,云南小米渣科技有限公司,530619492544,LXRJ01EW8GM499067,晋B25ZRR,沙门氏菌鼠伤寒伴有败血症,参字第05219118号
10,浮汝梅,522628193808137701,1972-08-07,安徽省淮南市,山东省常州市戚墅堰区丁堰镇芳渚村委段家塘43号,17224135898,zhiyuanyuan@v4pro.info,E68479838,广字第99345967号,6202020225810444336,0875-59238978,75632121317459103R,211003535826437,64585373-X,牙膏制造工,四川小米暖通设备有限公司,360777827095,XCEL7GDM7AFVZ3720,新D4YX10,先天性耳廓畸形,成字第28290784号
